,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25,A_27,A_28,A_31,A_32,A_33,A_34,A_35,A_36,A_37,A_38,A_39,A_40,A_41,A_42,A_43,A_44,A_46,A_47,A_48,A_49,A_50,A_51,A_52,A_53,A_54,A_55,A_56,A_57,A_58,A_59,A_60,A_61,A_62,A_63,A_64,A_65,A_67,A_70,A_72,A_73,A_74,A_75,A_76,A_77,A_78,A_79,A_80,A_81,A_82,A_84,A_85,A_86,A_87,A_88,A_89,A_90
P_1,42744.6605497189,93.01309523809529,604.2436245025535,495.47578948828686,39.871428571428574,409.10102813852706,351.3778499278495,326.4913197913188,188.23257112684357,6.583333333333333,59.588095238095285,38.45833333333334,21.599999999999998,268.6374098124086,101.2904277798963,59.7,92.91666666666663,392.8719780219761,93.64722222222228,71.86681049428742,222.92522197874356,13.916666666666666,26.833333333333332,77.46666666666674,102.86666666666659,179.74621212121193,68.16666666666666,30.698564998214998,81.72245394784098,0.0,117.56428571428569,0.6666666666666666,1.0,146.60838785397598,45.91666666666669,0.5,57.52917273215294,197.8416666666667,65.81666666666666,27.010589641061433,36.67536105105771,14.5,3.0,1.0,0.0,21.44166666666666,74.4115800865801,2.0,40.666666666666664,7.166666666666666,0.0,20.216666666666658,32.099999999999994,38.16666666666667,41.11904761904764,20.392857142857146,524.3725024975034,293.4309301809301,80.80714285714284,220.89206349206358,453.77577203376813,16.11666666666667,237.58333333333385,40.70476190476193,0.0,26.0,6.816666666666666,46.50000000000002,1.0,19.726190476190478,1.0,22.666666666666664,115.41428571428578,59.18941048631462,17.28333333333333,38.51666666666666,12.5,116.03412698412701,1.0,0.0
P_2,103.93034018354038,592.5438375350133,10.948622924203415,83.44444444444441,2.0,2.4777777777777774,2.6920995670995667,2.25,1.3,0.0,0.0,0.0,0.0,7.626190476190476,0.0,29.166666666666657,1.5,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.8333333333333333,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.366666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,3.0734126984126986,10.583333333333334,0.0,2.2095238095238097,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0
P_3,592.533332411593,32.43956582633052,2708.2216990818447,93.5162809412812,16.803571428571423,179.41908369408367,46.34087301587305,397.94087301587354,22.430742296918762,1.0,67.3079365079367,5.0,12.249999999999998,25.79285714285714,1.6333333333333333,1.0,2.75,14.0,3.333333333333333,0.4583333333333333,0.0,0.0,15.833333333333337,15.401190476190477,0.25,16.86515151515152,20.166666666666668,2.0,1.7499999999999998,0.5,2.466666666666667,0.0,0.0,11.274621212121211,0.0,0.0,0.6785714285714286,1.0,2.0,1.5,0.0,0.0,3.0,2.0,0.0,2.0,0.5,0.0,0.0,6.133333333333334,0.0,0.0,0.0,2.0,0.0,2.833333333333333,24.866666666666664,0.9999999999999999,0.0,2.0,3.9179292929292937,0.0,3.0,1.5,0.0,2.0,4.25,2.0,0.0,2.583333333333333,0.0,0.0,0.2,0.16666666666666666,0.8333333333333333,0.0,0.0,3.366666666666667,0.0,0.0
P_4,71.8652306278083,19.76904761904762,55.28551497092523,1191.0454725829754,1.3333333333333333,0.5888888888888889,0.1111111111111111,25.05436507936507,0.6111111111111112,0.0,0.0,0.0,4.233333333333333,6.0,0.0,0.0,0.0,2.9833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.7333333333333334,0.0,0.25,1.2333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_5,9.01025641025641,0.0,5.86025641025641,0.3333333333333333,985.3476190476197,1.1666666666666667,7.0,8.559523809523814,13.583333333333334,1.5,0.0,0.0,0.5,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0454545454545454,1.0,0.0,1.1428571428571428,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.5,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
P_6,37.841902583651525,0.0,30.46870186487059,2.2595238095238095,0.3333333333333333,1102.638834776339,52.36111111111112,97.57579365079364,0.0,0.0,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_7,17.995005417288017,9.999999999999998,16.054119009010314,1.1666666666666665,4.083333333333333,71.35440115440119,1264.4755050505053,37.36904761904762,7.0,0.0,1.5,0.0,4.0,3.9166666666666665,0.5,0.0,0.0,0.5,2.1666666666666665,0.0,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.8333333333333333,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,11.0,0.0,0.0,0.0,0.0,0.0,0.0
P_8,108.63518649393265,0.125,198.2416857654009,28.983369408369402,6.15,107.88459595959593,34.44365079365078,863.2444444444469,8.75,3.5000000000000004,1.876190476190476,1.1666666666666665,0.0,0.9166666666666666,0.0,0.0,0.0,2.283333333333333,0.0,0.6428571428571428,2.5,0.0,0.0,0.0,0.0,11.916666666666666,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_9,121.46136551357147,0.7058823529411765,10.656640989729224,9.666666666666666,4.292857142857144,9.0,20.883333333333333,8.652331002331003,790.3479786768094,0.0,0.0,2.0,0.0,6.69047619047619,16.037675074173816,1.0,1.0,4.0,1.5,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,6.787337662337662,0.0,1.0,0.75,0.0,3.9166666666666674,0.0,0.0,2.267857142857143,0.0,0.0,0.0,24.53333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583333333333333,0.0,0.0,3.0,3.4461722488038276,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,1.0,0.5,0.0,1.6666666666666665,0.0,0.0,0.1,0.0,0.0
P_10,500.66231336733426,10.333333333333334,204.98846839435078,17.92474747474747,28.73333333333333,35.80079365079364,53.192857142857186,73.73928571428576,17.666666666666668,434.58333333333303,13.08333333333334,3.0,3.6,8.833333333333334,4.000000000000001,24.833333333333336,17.916666666666664,15.083333333333334,7.333333333333333,10.0,19.83333333333333,6.8,23.999999999999993,12.2,2.0,9.2,3.1666666666666665,3.0,6.0,0.0,4.5,0.0,0.0,3.5,0.0,0.3333333333333333,6.0,6.666666666666666,2.0,9.5,7.0,6.0,1.0,1.0,1.0,7.0,6.300000000000001,0.0,4.0,2.0,4.0,1.0,0.5,15.666666666666666,3.0,8.5,31.0,13.833333333333334,6.0,9.25,38.41666666666667,10.666666666666668,20.999999999999996,8.65,0.0,0.0,3.916666666666667,4.0,1.0,13.0,1.4999999999999998,4.5,9.999999999999998,6.333333333333333,6.5,15.0,2.0,10.333333333333332,0.0,0.0
P_11,59.50952380952385,0.0,1.6,5.933333333333334,0.0,0.25,4.083333333333333,5.260317460317463,4.0,0.0,580.0349206349201,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,27.833333333333332,0.0,4.333333333333334,0.0,2.5,0.0,0.0,1.5,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,3.4166666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,3.0,0.0,7.666666666666667,0.0,0.0
P_13,28.175154450812347,0.0,2.5833333333333335,0.08333333333333333,0.0,9.3,2.212301587301587,1.3333333333333333,1.3333333333333333,1.0,1.0,506.8833333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553968253968254,0.0,0.0
P_14,56.82828282828291,0.6523809523809523,11.846323529411764,2.6051587301587302,0.0,1.3333333333333333,2.333333333333333,2.75,0.0,14.500000000000004,0.5,1.0,233.9833333333334,2.1,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.291666666666668,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
P_15,226.44166705870575,3.083333333333333,4.166666666666667,2.783333333333333,0.14285714285714285,1.7333333333333332,11.698484848484846,4.016666666666667,6.101190476190477,0.0,1.0,0.0,1.0,538.7024891774877,6.407575757575757,3.0,5.833333333333333,16.199999999999996,1.0,1.5,21.802777777777777,0.0,10.5,0.25,0.0,4.65952380952381,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,1.8127917833800187,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1166666666666663,0.0,2.55,0.0,0.0,62.51515151515155,10.583333333333334,1.2,2.642857142857143,39.55351037851038,0.0,0.0,1.1666666666666667,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5833333333333333,2.5,0.0,0.0,3.5,1.0,0.0,0.0
